ablation,setting,method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
k,5,greedy_topk,1.0,0.3,0.47916666666666663,1.1041666666666665,0.07302979686089622,0.0673992673992674,0.9623076923076923,0.0016916015824175825,0.00020272297963369967,0.5555555555555556,0.0007062999998197483,,,False
k,5,quota_mmr,0.8813654177522018,0.3,0.80625,0.5308333333333333,0.013199634017039663,0.09230769230769231,0.9367838827838828,0.0016878506666666668,0.00011697876161172161,0.5555555555555556,0.07166340000003402,,,False
k,5,qubo_tabu,0.8825914805038304,0.275,1.0,0.29833333333333334,0.022401889658696446,0.09010989010989011,0.9401684981684981,0.0017066052454212458,0.0001422801887179487,0.4444444444444444,11.713856999999962,,,False
k,5,qubo_feasible,0.8758750790151456,0.325,1.0,0.29833333333333334,0.024334573009528442,0.08937728937728938,0.9404249084249084,0.001672847003663004,0.00014571203282051282,0.6666666666666666,31.74777610000001,,,False
k,10,greedy_topk,1.0,0.325,0.6354166666666666,0.9341666666666667,0.04841122634256675,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.0002464443253424693,0.6666666666666666,0.0005895000001601147,,,False
k,10,quota_mmr,0.8681616687009373,0.325,1.0,0.25250000000000006,0.008840910518619979,0.17509157509157508,0.8836190476190476,0.001871642623023874,0.00014785434341341722,0.6666666666666666,0.1452028999999584,,,False
k,10,qubo_tabu,0.8975713607372782,0.325,1.0,0.19916666666666666,0.016373594293781567,0.1706959706959707,0.8885677655677656,0.001871642623023874,0.0001920740521464979,0.6666666666666666,12.051620299999968,,,False
k,10,qubo_feasible,0.8434915119988154,0.3,1.0,0.19916666666666666,0.015357055547664353,0.19047619047619047,0.8674395604395604,0.001882895370276621,0.0001792303002783554,0.5555555555555556,36.03797869999994,,,False
k,20,greedy_topk,1.0,0.325,0.7666666666666666,0.8016666666666665,0.02745536222954199,0.24395604395604395,0.8652234432234432,0.001897834833537692,0.0002559649743439713,0.6666666666666666,0.0012397000000419212,,,False
k,20,quota_mmr,0.8617927382821466,0.325,1.0,0.03333333333333333,0.005966388653622512,0.32673992673992674,0.788529304029304,0.001897834833537692,0.00015995514379505847,0.6666666666666666,0.3727270000001681,,,False
k,20,qubo_tabu,0.910475262037791,0.35,1.0,0.03320175438596491,0.011588553828751345,0.30256410256410254,0.8117546200149455,0.0018971711615799385,0.00022980925117823168,0.7777777777777778,11.897915699999885,,,False
k,20,qubo_feasible,0.7895649469739284,0.325,1.0,0.03583333333333333,0.00730041701297174,0.3523809523809524,0.7632838827838828,0.0018910831851860431,0.0001889393925773368,0.6666666666666666,37.45433939999998,,,False
n_items,50,greedy_topk,1.0,0.325,0.68125,0.8466666666666667,0.04841122634256675,0.1304029304029304,0.9284578754578755,0.0018196983006795516,0.0002450706989688429,1.0,0.0004582999999911408,,,False
n_items,50,quota_mmr,0.8490983367516091,0.275,1.0,0.24250000000000002,0.011460754603891628,0.16776556776556775,0.8903296703296704,0.001846704894086145,0.0001575338015698202,0.6666666666666666,0.03790989999993144,,,False
n_items,50,qubo_tabu,0.9153371692547274,0.325,1.0,0.20999999999999996,0.023569446752976904,0.15897435897435896,0.8993289083514647,0.001816367634040184,0.0002045690634495066,1.0,8.806904300000042,,,False
n_items,50,qubo_feasible,0.9005622995261241,0.325,1.0,0.21166666666666667,0.02262039697590141,0.16923076923076924,0.8909157509157509,0.0018166975680788192,0.00020163427911875102,1.0,9.686633699999902,,,False
n_items,100,greedy_topk,1.0,0.325,0.6541666666666667,0.8966666666666667,0.04841122634256675,0.1304029304029304,0.9284578754578755,0.0018380133189945698,0.00024552857442671833,0.8571428571428571,0.0006621999998515093,,,False
n_items,100,quota_mmr,0.8603237932108371,0.275,1.0,0.24333333333333332,0.009717246649172574,0.16996336996336997,0.8881428571428571,0.0018650199124011632,0.0001507674049429761,0.5714285714285714,0.06580529999996543,,,False
n_items,100,qubo_tabu,0.9025778725534657,0.35,1.0,0.2,0.01903357702429833,0.17142857142857143,0.8876849816849817,0.0018300961861007973,0.00019471494604576207,1.0,9.484516900000017,,,False
n_items,100,qubo_feasible,0.8688983910938436,0.275,1.0,0.2,0.0178327597002688,0.18534798534798536,0.8738315018315018,0.0018650199124011632,0.00018138773424946684,0.5714285714285714,15.635954400000173,,,False
n_items,200,greedy_topk,1.0,0.325,0.6354166666666666,0.9341666666666667,0.04841122634256675,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.0002464443253424693,0.6666666666666666,0.0005848000000696629,,,False
n_items,200,quota_mmr,0.8681616687009373,0.325,1.0,0.25250000000000006,0.008840910518619979,0.17509157509157508,0.8836190476190476,0.001871642623023874,0.00014785434341341722,0.6666666666666666,0.13423950000014884,,,False
n_items,200,qubo_tabu,0.8981146659530925,0.325,1.0,0.19916666666666666,0.01653041017956581,0.1706959706959707,0.8882344322344322,0.001871642623023874,0.00019421227922252865,0.6666666666666666,12.427333800000042,,,False
n_items,200,qubo_feasible,0.8434915119988154,0.3,1.0,0.19916666666666666,0.015357055547664353,0.19047619047619047,0.8674395604395604,0.001882895370276621,0.0001792303002783554,0.5555555555555556,37.638210800000024,,,False
