repeat,seed,method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
0,0,greedy_topk,1.0,0.2833333333333333,0.6416666666666667,0.9800000000000001,0.04908110518015834,0.16996336996336997,0.9147789987789988,0.00200796941843291,0.0002307549725105389,0.391304347826087,0.0007774999994580867,1.7726059722109414e-07,7.810243722039185e-08,True
0,0,mmr,0.9285464773619233,0.26666666666666666,0.7333333333333333,0.8183333333333334,0.01704834336274713,0.21611721611721613,0.8700415140415141,0.002020472470935962,0.0001426652828010666,0.34782608695652173,0.23198090000005323,7.655165927227394e-07,3.3729273488638074e-07,True
0,0,quota_mmr,0.8588267825183656,0.25,1.0,0.25388888888888894,0.009049123700584779,0.25347985347985347,0.8339047619047619,0.0020237500711313217,0.00011842162866858823,0.30434782608695654,0.16018420000000333,5.172744277680088e-07,2.2791525107000682e-07,True
0,0,qubo_tabu,0.8925625483126249,0.25,1.0,0.19666666666666663,0.01652072321216015,0.22783882783882783,0.8601245421245421,0.002023750071131322,0.00016408208067721317,0.30434782608695654,16.11716179999894,5.150679775165374e-05,2.269430714376065e-05,True
0,0,qubo_feasible,0.8345054058318292,0.26666666666666666,1.0,0.19666666666666663,0.014737164917299565,0.2608058608058608,0.8288547008547008,0.0020137476291288807,0.00015676636131869545,0.34782608695652173,45.40054860000055,0.0001450199753761623,6.389696131054012e-05,True
1,1,greedy_topk,1.0,0.36666666666666664,0.5472222222222222,1.103888888888889,0.058668506259520484,0.13772893772893774,0.9395604395604396,0.001966243781509833,0.0003201931226000558,0.47619047619047616,0.0007506000001740176,1.9710127039286697e-09,8.684439654526033e-10,True
1,1,mmr,0.900829495054397,0.36666666666666664,0.7138888888888889,0.8855555555555554,0.021014872352905833,0.1978021978021978,0.8907423687423688,0.0019709703854658765,0.00019680805896309732,0.47619047619047616,0.20026569999936328,6.446477394090968e-07,2.8403695116556333e-07,True
1,1,quota_mmr,0.8144226723408365,0.3333333333333333,1.0,0.25777777777777783,0.009599359536829036,0.23663003663003662,0.8544200244200244,0.0019812146865159372,0.00016051828966806927,0.38095238095238093,0.15513210000062827,4.997053820293902e-07,2.2017418896520557e-07,True
1,1,qubo_tabu,0.8760776024730208,0.35,1.0,0.20222222222222216,0.019459919734814392,0.21318681318681318,0.8806007326007326,0.0019721844318639228,0.00022450781411760914,0.42857142857142855,16.02318809999997,5.119289591528452e-05,2.2555999483441682e-05,True
1,1,qubo_feasible,0.8273662182026114,0.3333333333333333,1.0,0.20222222222222216,0.017618132576069014,0.25054945054945055,0.8427545787545787,0.001972181231082482,0.00020282511464293743,0.42857142857142855,37.258588800001235,0.00011908092884932999,5.246800989844559e-05,True
2,2,greedy_topk,1.0,0.38333333333333336,0.6513888888888888,0.9955555555555556,0.050195660787035856,0.14652014652014653,0.9313137973137973,0.001875721693890785,0.00022978651908412488,0.7142857142857143,0.0007452999998349696,2.004819268146944e-09,8.833394080996887e-10,True
2,2,mmr,0.9237384078268444,0.35,0.7861111111111111,0.8122222222222221,0.01689386455735437,0.1956043956043956,0.8903492063492063,0.001898535313622165,0.00015944832681212174,0.5714285714285714,0.19835179999972752,6.386436586612158e-07,2.8139150515540097e-07,True
2,2,quota_mmr,0.857626094553076,0.31666666666666665,1.0,0.2544444444444445,0.009525074061814591,0.22564102564102564,0.8656068376068377,0.0019128308037320546,0.00013308895862462595,0.42857142857142855,0.1571182999996381,5.059924627368041e-07,2.2294432702153778e-07,True
2,2,qubo_tabu,0.8908194401150984,0.36666666666666664,1.0,0.20222222222222216,0.01716599987588627,0.1978021978021978,0.8889279609279609,0.001872789778091029,0.0001768944134282696,0.6428571428571429,16.095292100000734,5.142638093457698e-05,2.2658874850822095e-05,True
2,2,qubo_feasible,0.8325210351881,0.3333333333333333,1.0,0.20222222222222216,0.014695385130633743,0.22490842490842491,0.8672942612942613,0.00190220195879921,0.00017113695331770379,0.5,37.16623629999958,0.00011877710819794964,5.2334144088882194e-05,True
3,3,greedy_topk,1.0,0.15,0.675,0.9199999999999999,0.05090897408324912,0.18754578754578755,0.899909645909646,0.002172231634012885,0.00023057122063164403,0.3076923076923077,0.0007526000008510891,2.0365829786047238e-09,8.973347530370701e-10,True
3,3,mmr,0.9363064380949522,0.16666666666666666,0.7666666666666667,0.775,0.020015037433291753,0.2315018315018315,0.8537484737484737,0.0021689540338175246,0.00013978375694787345,0.34615384615384615,0.19925429999966582,6.410249007593236e-07,2.824406994737641e-07,True
3,3,quota_mmr,0.8630126924034186,0.16666666666666666,1.0,0.25999999999999995,0.01059984610323903,0.26373626373626374,0.8182173382173382,0.0021681346337686846,0.00011311246486173253,0.34615384615384615,0.15683979999994335,5.05082651524608e-07,2.2254345692295447e-07,True
3,3,qubo_tabu,0.8865081623054861,0.16666666666666666,1.0,0.19833333333333328,0.01898105310002227,0.25860805860805863,0.8273724053724054,0.0021681346337686846,0.00017492617015652242,0.34615384615384615,16.02550379999957,5.119361132954387e-05,2.2556314700687664e-05,True
3,3,qubo_feasible,0.828633537817309,0.11666666666666667,1.0,0.19833333333333328,0.015078430624052978,0.27985347985347986,0.804039072039072,0.002187852635233886,0.00013992366939145377,0.23076923076923078,37.38852279999992,0.00011949360828555604,5.264983975948228e-05,True
4,4,greedy_topk,1.0,0.4,0.6458333333333334,0.9516666666666667,0.04656983994206052,0.16776556776556775,0.9149181929181929,0.001919207985661237,0.00020431425210777444,0.65,0.0007636999998794636,2.035635570082116e-09,8.96917317262741e-10,True
4,4,mmr,0.9308651004540434,0.38333333333333336,0.7333333333333333,0.8033333333333333,0.017508665013827758,0.21318681318681318,0.8743687423687424,0.0019279301150873663,0.00013154881433522636,0.6,0.21118139999998675,6.790947912896547e-07,2.9921459780055216e-07,True
4,4,quota_mmr,0.858540770148732,0.35,1.0,0.26166666666666666,0.00844071874306875,0.24322344322344322,0.8459682539682539,0.0019378525375537885,0.00011201433950235445,0.5,0.15866270000151417,5.113656815914123e-07,2.2531181023462897e-07,True
4,4,qubo_tabu,0.8905449829874148,0.36666666666666664,1.0,0.19999999999999993,0.016437561442859558,0.22564102564102564,0.8628131868131869,0.0019338547615342526,0.00015531611054840584,0.6,16.009141700000328,5.114665038696799e-05,2.2535623333701194e-05,True
4,4,qubo_feasible,0.8364986343916784,0.35,1.0,0.19999999999999993,0.013466252920706292,0.24615384615384617,0.844905982905983,0.001931154902388953,0.0001420196848183763,0.55,37.32702520000021,0.00011929152282329585,5.256079928812674e-05,True
