method,reference,metric,n_users,median_diff,ci_lo,ci_hi,better,worse,tied,statistic,p_raw,p_holm,significant
greedy_topk,quota_mmr,exposure_parity,200,0.7,0.7,0.8,1,195,4,4.5,4.816873733631099e-34,9.152060093899089e-33,True
mmr,quota_mmr,exposure_parity,200,0.5,0.39999999999999997,0.55,0,190,10,0.0,5.343613734434965e-33,9.084143348539441e-32,True
qubo_sa,quota_mmr,exposure_parity,200,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,115,0,85,0.0,2.0511831148245683e-26,2.6665380492719387e-25,True
qubo_tabu,quota_mmr,exposure_parity,200,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,115,0,85,0.0,2.0511831148245683e-26,2.6665380492719387e-25,True
qubo_feasible,quota_mmr,exposure_parity,200,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,115,0,85,0.0,2.0511831148245683e-26,2.6665380492719387e-25,True
greedy_topk,quota_mmr,intra_list_sim,200,0.03000952789666457,0.02312400139140232,0.030280774817079213,8,190,2,100.0,1.358199549753061e-33,2.4447591895555098e-32,True
qubo_tabu,quota_mmr,intra_list_sim,200,0.0022379045088545962,0.0021881397066110062,0.004025642042781085,25,166,9,671.0,1.136834219729066e-28,1.705251329593599e-27,True
mmr,quota_mmr,intra_list_sim,200,0.0036551751303030445,0.0023099597168927837,0.005459737435133941,19,171,10,715.0,3.3139153831360725e-28,4.6394815363905014e-27,True
qubo_feasible,quota_mmr,intra_list_sim,200,0.003356006712884889,0.0017434472022712427,0.005672819936760566,66,134,0,3784.0,2.0646405279937812e-14,1.858176475194403e-13,True
qubo_sa,quota_mmr,intra_list_sim,200,-0.0001697312196649592,-0.0011755566402025588,0.0007658338012922318,103,97,0,9547.0,0.5393330141515456,1.0,False
greedy_topk,quota_mmr,ndcg@k,200,0.07224469218156182,0.05055350713021876,0.10702772786083359,198,0,2,0.0,2.99730046093817e-34,5.99460092187634e-33,True
mmr,quota_mmr,ndcg@k,200,0.050526190583851105,0.03300073431691569,0.06923801980387573,186,4,10,14.0,7.657450182695439e-33,1.2251920292312703e-31,True
qubo_sa,quota_mmr,ndcg@k,200,-0.13624657060791884,-0.1541886200242285,-0.10836262082302889,33,167,0,1994.0,8.286391969639718e-23,8.286391969639718e-22,True
qubo_tabu,quota_mmr,ndcg@k,200,0.0011926471236126668,0.0011926471236126668,0.004336954013542005,127,63,10,4871.0,3.089876485721859e-08,2.4719011885774874e-07,True
qubo_feasible,quota_mmr,ndcg@k,200,-0.04263803648886433,-0.05138942345429387,-0.028215702711807122,54,146,0,6636.0,3.0974757957236944e-05,0.0002168233057006586,True
greedy_topk,quota_mmr,recall@k,200,0.0,0.0,0.0,7,2,191,10.0,0.0955807045456294,0.5734842272737765,False
mmr,quota_mmr,recall@k,200,0.0,0.0,0.0,5,1,194,3.5,0.10247043485974941,0.5734842272737765,False
qubo_tabu,quota_mmr,recall@k,200,0.0,0.0,0.0,5,1,194,3.5,0.10247043485974941,0.5734842272737765,False
qubo_sa,quota_mmr,recall@k,200,0.0,0.0,0.0,4,7,189,24.0,0.36571229628151325,1.0,False
qubo_feasible,quota_mmr,recall@k,200,0.0,0.0,0.0,7,5,188,32.5,0.5637028616507731,1.0,False
