seed,tau,method,feasible,feasible_eval,n_considered,tune_ndcg,tune_parity,ndcg@k,recall@k,category_coverage,exposure_parity,exposure_parity_equal,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured,chosen_mmr_lam,chosen_lam,chosen_mu
0,0.2,greedy_topk,False,False,1,1.0,0.7425,1.0,0.175,0.80625,0.735,0.735,0.010957083411003096,0.2792297111416781,0.8236588720770289,0.004135607180780727,0.0003077822262628469,0.3684210526315789,0.0006345000001601875,,,False,,,
0,0.2,mmr,False,False,3,0.8628583790019103,0.575,0.8715303888289455,0.1,0.9125,0.5275000000000001,0.5275000000000001,0.002955315080564737,0.33700137551581844,0.7662104539202201,0.004220456919432721,0.0002735141526174074,0.21052631578947367,0.14981819999957224,,,False,0.7,,
0,0.2,quota_mmr,False,False,3,0.9356829240888459,0.2425,0.9476290270694557,0.175,1.0,0.25,0.25,0.0068556100910652975,0.297111416781293,0.8071801925722146,0.004132001348593657,0.0003004985410309134,0.3684210526315789,0.1271569999953499,,,False,0.3,,
0,0.2,balanced_quota,True,True,3,0.9305753000170188,0.2,0.9370997445258832,0.175,1.0,0.2,0.2,0.006768835429187077,0.29160935350756534,0.8123933975240716,0.004132001348593656,0.0003046642818192022,0.3684210526315789,0.05330179999873508,,,False,0.3,,
0,0.2,qubo_tabu,True,True,9,0.9404786822028477,0.2,0.9473519990021648,0.175,1.0,0.2,0.2,0.007975989533004005,0.28473177441540576,0.8206189821182943,0.004132001348593656,0.00031257588170411504,0.3684210526315789,10.972154199997021,,,False,,0.0,1.0
0,0.2,qubo_feasible,True,True,9,0.870214515522717,0.2,0.880132060259724,0.125,1.0,0.2,0.2,0.006270854889142012,0.297111416781293,0.8064099037138928,0.004212569161523506,0.00029851021224126123,0.2631578947368421,28.592795699994895,,,False,,0.0,1.0
0,0.22,greedy_topk,False,False,1,1.0,0.7425,1.0,0.175,0.80625,0.735,0.735,0.010957083411003096,0.2792297111416781,0.8236588720770289,0.004135607180780727,0.0003077822262628469,0.3684210526315789,0.0006345000001601875,,,False,,,
0,0.22,mmr,False,False,3,0.8628583790019103,0.575,0.8715303888289455,0.1,0.9125,0.5275000000000001,0.5275000000000001,0.002955315080564737,0.33700137551581844,0.7662104539202201,0.004220456919432721,0.0002735141526174074,0.21052631578947367,0.14981819999957224,,,False,0.7,,
0,0.22,quota_mmr,False,False,3,0.9356829240888459,0.2425,0.9476290270694557,0.175,1.0,0.25,0.25,0.0068556100910652975,0.297111416781293,0.8071801925722146,0.004132001348593657,0.0003004985410309134,0.3684210526315789,0.1271569999953499,,,False,0.3,,
0,0.22,balanced_quota,True,True,3,0.9305753000170188,0.2,0.9370997445258832,0.175,1.0,0.2,0.2,0.006768835429187077,0.29160935350756534,0.8123933975240716,0.004132001348593656,0.0003046642818192022,0.3684210526315789,0.05330179999873508,,,False,0.3,,
0,0.22,qubo_tabu,True,True,9,0.9404786822028477,0.2,0.9473519990021648,0.175,1.0,0.2,0.2,0.007975989533004005,0.28473177441540576,0.8206189821182943,0.004132001348593656,0.00031257588170411504,0.3684210526315789,10.972154199997021,,,False,,0.0,1.0
0,0.22,qubo_feasible,True,True,9,0.870214515522717,0.2,0.880132060259724,0.125,1.0,0.2,0.2,0.006270854889142012,0.297111416781293,0.8064099037138928,0.004212569161523506,0.00029851021224126123,0.2631578947368421,28.592795699994895,,,False,,0.0,1.0
0,0.25,greedy_topk,False,False,1,1.0,0.7425,1.0,0.175,0.80625,0.735,0.735,0.010957083411003096,0.2792297111416781,0.8236588720770289,0.004135607180780727,0.0003077822262628469,0.3684210526315789,0.0006345000001601875,,,False,,,
0,0.25,mmr,False,False,3,0.8628583790019103,0.575,0.8715303888289455,0.1,0.9125,0.5275000000000001,0.5275000000000001,0.002955315080564737,0.33700137551581844,0.7662104539202201,0.004220456919432721,0.0002735141526174074,0.21052631578947367,0.14981819999957224,,,False,0.7,,
0,0.25,quota_mmr,True,True,3,0.9356829240888459,0.2425,0.9476290270694557,0.175,1.0,0.25,0.25,0.0068556100910652975,0.297111416781293,0.8071801925722146,0.004132001348593657,0.0003004985410309134,0.3684210526315789,0.1271569999953499,,,False,0.3,,
0,0.25,balanced_quota,True,True,3,0.9305753000170188,0.2,0.9370997445258832,0.175,1.0,0.2,0.2,0.006768835429187077,0.29160935350756534,0.8123933975240716,0.004132001348593656,0.0003046642818192022,0.3684210526315789,0.05330179999873508,,,False,0.3,,
0,0.25,qubo_tabu,True,True,9,0.9404786822028477,0.2,0.9473519990021648,0.175,1.0,0.2,0.2,0.007975989533004005,0.28473177441540576,0.8206189821182943,0.004132001348593656,0.00031257588170411504,0.3684210526315789,10.972154199997021,,,False,,0.0,1.0
0,0.25,qubo_feasible,True,True,9,0.870214515522717,0.2,0.880132060259724,0.125,1.0,0.2,0.2,0.006270854889142012,0.297111416781293,0.8064099037138928,0.004212569161523506,0.00029851021224126123,0.2631578947368421,28.592795699994895,,,False,,0.0,1.0
0,0.3,greedy_topk,False,False,1,1.0,0.7425,1.0,0.175,0.80625,0.735,0.735,0.010957083411003096,0.2792297111416781,0.8236588720770289,0.004135607180780727,0.0003077822262628469,0.3684210526315789,0.0006345000001601875,,,False,,,
0,0.3,mmr,False,False,3,0.8628583790019103,0.575,0.8715303888289455,0.1,0.9125,0.5275000000000001,0.5275000000000001,0.002955315080564737,0.33700137551581844,0.7662104539202201,0.004220456919432721,0.0002735141526174074,0.21052631578947367,0.14981819999957224,,,False,0.7,,
