lam,mu,seed,method,energy
0.0,1.0,0,quota_mmr,-0.6207462451010546
0.0,1.0,0,balanced_quota,-0.6589999422890882
0.0,1.0,0,balanced_quota_div,-0.6540160364424729
0.0,1.0,0,qubo_tabu,-0.6590678995249993
0.0,1.0,0,qubo_feasible,-0.6472692343719787
0.0,1.0,0,random_feasible,-0.33517028383958164
0.0,1.0,1,quota_mmr,-0.6183746921333355
0.0,1.0,1,balanced_quota,-0.6581049182660322
0.0,1.0,1,balanced_quota_div,-0.6513490661295103
0.0,1.0,1,qubo_tabu,-0.6576301861504789
0.0,1.0,1,qubo_feasible,-0.647796491474323
0.0,1.0,1,random_feasible,-0.2916987922949484
0.0,1.0,2,quota_mmr,-0.6106461123651064
0.0,1.0,2,balanced_quota,-0.6535213220429694
0.0,1.0,2,balanced_quota_div,-0.6448686852906315
0.0,1.0,2,qubo_tabu,-0.6532391984370346
0.0,1.0,2,qubo_feasible,-0.6428291631794503
0.0,1.0,2,random_feasible,-0.27510881860193387
1.0,1.0,0,quota_mmr,-0.10929029584355314
1.0,1.0,0,balanced_quota,-0.11432782656553461
1.0,1.0,0,balanced_quota_div,-0.11543494648761184
1.0,1.0,0,qubo_tabu,-0.1159705603709297
1.0,1.0,0,qubo_feasible,-0.1143291820285088
1.0,1.0,0,random_feasible,-0.07040254034544273
1.0,1.0,1,quota_mmr,-0.1314378876495937
1.0,1.0,1,balanced_quota,-0.13566356833200727
1.0,1.0,1,balanced_quota_div,-0.1367946983952136
1.0,1.0,1,qubo_tabu,-0.13724370750961504
1.0,1.0,1,qubo_feasible,-0.13509552695226704
1.0,1.0,1,random_feasible,-0.08134040773891135
1.0,1.0,2,quota_mmr,-0.08841960378874816
1.0,1.0,2,balanced_quota,-0.09311259987697237
1.0,1.0,2,balanced_quota_div,-0.09434482628515564
1.0,1.0,2,qubo_tabu,-0.0948515035687277
1.0,1.0,2,qubo_feasible,-0.09330771967552609
1.0,1.0,2,random_feasible,-0.0549595904003304
2.0,1.0,0,quota_mmr,-0.05603887330098214
2.0,1.0,0,balanced_quota,-0.05797428904578796
2.0,1.0,0,balanced_quota_div,-0.05929269403898948
2.0,1.0,0,qubo_tabu,-0.06026101908753223
2.0,1.0,0,qubo_feasible,-0.05941953032057168
2.0,1.0,0,random_feasible,-0.036580811975237576
2.0,1.0,1,quota_mmr,-0.06853309311028805
2.0,1.0,1,balanced_quota,-0.07009385015853549
2.0,1.0,1,balanced_quota_div,-0.07144182913935807
2.0,1.0,1,qubo_tabu,-0.07234248249008321
2.0,1.0,1,qubo_feasible,-0.07122156893117623
2.0,1.0,1,random_feasible,-0.04296657619339565
2.0,1.0,2,quota_mmr,-0.0449875652964255
2.0,1.0,2,balanced_quota,-0.04666874845213683
2.0,1.0,2,balanced_quota_div,-0.048165430333482466
2.0,1.0,2,qubo_tabu,-0.04918335648336424
2.0,1.0,2,qubo_feasible,-0.04839917897079134
2.0,1.0,2,random_feasible,-0.02853636146477081
4.0,1.0,0,quota_mmr,-0.027363660917646377
4.0,1.0,0,balanced_quota,-0.02761066131125048
4.0,1.0,0,balanced_quota_div,-0.02904039429077801
4.0,1.0,0,qubo_tabu,-0.03056265635753382
4.0,1.0,0,qubo_feasible,-0.030159628651139636
4.0,1.0,0,random_feasible,-0.01829005026381403
4.0,1.0,1,quota_mmr,-0.03367236933819872
4.0,1.0,1,balanced_quota,-0.03375620990935502
4.0,1.0,1,balanced_quota_div,-0.035216061223000514
4.0,1.0,1,qubo_tabu,-0.03676031453500533
4.0,1.0,1,qubo_feasible,-0.03621615633693541
4.0,1.0,1,random_feasible,-0.021636643655591484
4.0,1.0,2,quota_mmr,-0.021286437793632578
4.0,1.0,2,balanced_quota,-0.02131813822846853
4.0,1.0,2,balanced_quota_div,-0.022951157336355086
4.0,1.0,2,qubo_tabu,-0.024647881327033265
4.0,1.0,2,qubo_feasible,-0.024258929881033963
4.0,1.0,2,random_feasible,-0.014010803894041973
8.0,1.0,0,quota_mmr,-0.012462629289344626
8.0,1.0,0,balanced_quota,-0.011828045632243465
8.0,1.0,0,balanced_quota_div,-0.013313601371660988
8.0,1.0,0,qubo_tabu,-0.015353819934309463
8.0,1.0,0,qubo_feasible,-0.015143951688111612
8.0,1.0,0,random_feasible,-0.008762424077912476
8.0,1.0,1,quota_mmr,-0.01543493245178013
8.0,1.0,1,balanced_quota,-0.014749537548132153
8.0,1.0,1,balanced_quota_div,-0.016265966763535068
8.0,1.0,1,qubo_tabu,-0.018450842276342742
8.0,1.0,1,qubo_feasible,-0.018180995155516404
8.0,1.0,1,random_feasible,-0.010464571335715234
8.0,1.0,2,quota_mmr,-0.009128403706041472
8.0,1.0,2,balanced_quota,-0.008313492702611999
8.0,1.0,2,balanced_quota_div,-0.010015817001727073
8.0,1.0,2,qubo_tabu,-0.012300119877029945
8.0,1.0,2,qubo_feasible,-0.012124767494904732
8.0,1.0,2,random_feasible,-0.006553275271482166
